Comic Title,Publication Year,Cover URL
Siege (2009) #1,2010,http://i.annihil.us/u/prod/marvel/i/mg/9/50/59c2d0c4a857a.jpg
Black Widow & the Marvel Girls (2009) #2,2009,http://i.annihil.us/u/prod/marvel/i/mg/f/d0/4f79d3dfabb48.jpg
Ultimates 2 (2004) #11,2006,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/515f0859a7df0.jpg
Civil War (2006) #1,2006,http://i.annihil.us/u/prod/marvel/i/mg/e/f0/511307b2f1200.jpg
Ultimate Fantastic Four (2003) #29,2006,http://i.annihil.us/u/prod/marvel/i/mg/c/b0/5a96cf82abd29.jpg
Ultimate Fantastic Four (2003) #27,2006,http://i.annihil.us/u/prod/marvel/i/mg/6/70/5a96c52b2780d.jpg
Thor: Blood Oath (2005) #6,2005,http://i.annihil.us/u/prod/marvel/i/mg/9/50/4bc46e920ec36.jpg
Thor: Blood Oath (2005) #5,2005,http://i.annihil.us/u/prod/marvel/i/mg/4/50/59f398fc05455.jpg
Thor: Blood Oath (2005) #4,2005,http://i.annihil.us/u/prod/marvel/i/mg/7/40/59f39845c2c5e.jpg
Thor: Blood Oath (2005) #3,2005,http://i.annihil.us/u/prod/marvel/i/mg/8/e0/4bb3d21862d1f.jpg
Thor: Blood Oath (2005) #2,2005,http://i.annihil.us/u/prod/marvel/i/mg/7/30/59f3971dd5b65.jpg
Thor: Blood Oath (2005) #1,2005,http://i.annihil.us/u/prod/marvel/i/mg/c/b0/59f38c91ba4fa.jpg
WHA...HUH? 1 (2005) #1,2005,http://i.annihil.us/u/prod/marvel/i/mg/e/90/5bd8a0aa146fa.jpg
G.L.a. (2005) #2,2005,http://i.annihil.us/u/prod/marvel/i/mg/c/20/5ad500ed48ef2.jpg
Ultimates 2 (2004) #5,2005,http://i.annihil.us/u/prod/marvel/i/mg/3/10/515f06c136e52.jpg
Avengers: Earth's Mightiest Heroes (2004) #6,2005,http://i.annihil.us/u/prod/marvel/i/mg/a/03/5c1923b748436.jpg
Avengers: Earth's Mightiest Heroes (2004) #5,2005,http://i.annihil.us/u/prod/marvel/i/mg/9/20/5c191bbc88a24.jpg
Thor: Son of Asgard (2004) #12,2005,http://i.annihil.us/u/prod/marvel/i/mg/3/40/5a01f290a6893.jpg
Avengers: Earth's Mightiest Heroes (2004) #4,2004,http://i.annihil.us/u/prod/marvel/i/mg/3/10/5c1912f7b3135.jpg
Avengers: Earth's Mightiest Heroes (2004) #3,2004,http://i.annihil.us/u/prod/marvel/i/mg/6/40/5c19094b44fa3.jpg
Thor: Son of Asgard (2004) #11,2004,http://i.annihil.us/u/prod/marvel/i/mg/c/10/5a01e9e42fd2d.jpg
Ultimates 2 (2004) #1,2004,http://i.annihil.us/u/prod/marvel/i/mg/d/e0/515f069415388.jpg
Avengers (1998) #54,2002,http://i.annihil.us/u/prod/marvel/i/mg/d/20/5863d9bc9dba9.jpg
Ultimates (2002) #4,2002,http://i.annihil.us/u/prod/marvel/i/mg/6/a0/5a9d543f4e371.jpg
Paradise X (2002) #2,2002,http://i.annihil.us/u/prod/marvel/i/mg/4/20/5c9d14f841677.jpg
Thor (1998) #48,2002,http://i.annihil.us/u/prod/marvel/i/mg/6/10/59c9200b4e05d.jpg
X-Treme X-Men (2001) #11,2002,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/5c4b831a27b30.jpg
Paradise X (2002) #1,2002,http://i.annihil.us/u/prod/marvel/i/mg/c/40/5c9d1482a2eaf.jpg
Thor (1998) #47,2002,http://i.annihil.us/u/prod/marvel/i/mg/3/c0/59c9180d273d4.jpg
Avengers (1998) #53,2002,http://i.annihil.us/u/prod/marvel/i/mg/9/20/5863d8a11fea0.jpg
Avengers (1998) #52,2002,http://i.annihil.us/u/prod/marvel/i/mg/4/20/5863d74a354f9.jpg
Paradise X (2002),2002,http://i.annihil.us/u/prod/marvel/i/mg/a/30/5c9cf9f5218e4.jpg
Thor (1998) #46,2002,http://i.annihil.us/u/prod/marvel/i/mg/b/e0/59c90e3c2daa0.jpg
Black Panther (1998) #41,2002,http://i.annihil.us/u/prod/marvel/i/mg/9/60/4bc34a8938ac4.jpg
Thor (1998) #45,2002,http://i.annihil.us/u/prod/marvel/i/mg/4/50/59c907972fb90.jpg
Thor (1998) #44,2002,http://i.annihil.us/u/prod/marvel/i/mg/3/c0/59c5752dc0745.jpg
Ultimates (2002) #1,2002,http://i.annihil.us/u/prod/marvel/i/mg/5/a0/515f0432a3eb4.jpg
Thor (1998) #43,2002,http://i.annihil.us/u/prod/marvel/i/mg/3/c0/59c570623bf65.jpg
Avengers (1998) #49,2002,http://i.annihil.us/u/prod/marvel/i/mg/6/30/5862835d0dc1a.jpg
Thor: Godstorm (2001) #3,2002,http://i.annihil.us/u/prod/marvel/i/mg/9/60/5af4942651bfb.jpg
Thor (1998) #42,2001,http://i.annihil.us/u/prod/marvel/i/mg/a/00/59c56b6bc6a69.jpg
Thor: Godstorm (2001) #2,2001,http://i.annihil.us/u/prod/marvel/i/mg/5/70/5af490cb02402.jpg
Thor (1998) #17,1999,http://i.annihil.us/u/prod/marvel/i/mg/c/60/59c3fceb1a276.jpg
Peter Parker: Spider-Man (1999) #11,1999,http://i.annihil.us/u/prod/marvel/i/mg/6/90/58239464b1ebe.jpg
Earth X (1999) #8,1999,http://i.annihil.us/u/prod/marvel/i/mg/2/f0/5a95b3f525003.jpg
Avengers (1998) #22,1999,http://i.annihil.us/u/prod/marvel/i/mg/1/70/585959e0b9571.jpg
Earth X (1999) #7,1999,http://i.annihil.us/u/prod/marvel/i/mg/9/c0/5a95b41d94ae9.jpg
Avengers (1998) #21,1999,http://i.annihil.us/u/prod/marvel/i/mg/e/90/58595924577e1.jpg
Contest of Champions II (1999) #3,1999,http://i.annihil.us/u/prod/marvel/i/mg/6/00/50b3c751b2c95.jpg
Thor (1998) #16,1999,http://i.annihil.us/u/prod/marvel/i/mg/f/00/59c3e3aa33fcb.jpg
Earth X (1999) #6,1999,http://i.annihil.us/u/prod/marvel/i/mg/0/03/5a95b44154331.jpg
Avengers (1998) #20,1999,http://i.annihil.us/u/prod/marvel/i/mg/9/00/58540da5bdc24.jpg
Avengers Forever (1998) #9,1999,http://i.annihil.us/u/prod/marvel/i/mg/6/b0/60d5e4168fb92.jpg
Avengers (1998) #19,1999,http://i.annihil.us/u/prod/marvel/i/mg/9/c0/58540cc26f8fc.jpg
Earth X (1999) #5,1999,http://i.annihil.us/u/prod/marvel/i/mg/8/c0/5a95b41b10c9a.jpg
Avengers (1998) #18,1999,http://i.annihil.us/u/prod/marvel/i/mg/2/b0/58540c0d30e50.jpg
Uncanny X-Men (1963) #370,1999,http://i.annihil.us/u/prod/marvel/i/mg/4/30/5919cd6e67713.jpg
Earth X (1999) #3,1999,http://i.annihil.us/u/prod/marvel/i/mg/4/a0/5a95b398588c7.jpg
Avengers (1998) #17,1999,http://i.annihil.us/u/prod/marvel/i/mg/d/b0/58540b4938028.jpg
Cable (1993) #68,1999,http://i.annihil.us/u/prod/marvel/i/mg/e/d0/5a4fbb18a9ad0.jpg
X-Men (1991) #89,1999,http://i.annihil.us/u/prod/marvel/i/mg/c/80/5b9bdb1c5187f.jpg
Avengers (1998) #16,1999,http://i.annihil.us/u/prod/marvel/i/mg/6/50/58540aa9db571.jpg
Thor (1966) #482,1995,http://i.annihil.us/u/prod/marvel/i/mg/9/70/59f0aae2e2288.jpg
Thor (1966) #481,1994,http://i.annihil.us/u/prod/marvel/i/mg/d/a0/518812466e092.jpg
Thor (1966) #480,1994,http://i.annihil.us/u/prod/marvel/i/mg/8/a0/50b3edc23d604.jpg
Thor (1966) #479,1994,http://i.annihil.us/u/prod/marvel/i/mg/9/90/50b3eea2899e2.jpg
